Sample:0408-FW021.46.11.27.12	Subsample:0408-FW021.46.11.27.12.02	{'weight': 1}
Sample:0408-FW021.46.11.27.12	Experiment:100 Well	{'weight': 1}
Sample:0408-FW021.46.11.27.12	Subsample:0408-FW021.46.11.27.12.10	{'weight': 1}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_phylum_2	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_class_2	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_order_2	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_family_2	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_genus_4	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_species_3	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_esv_11	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_FPT_Cluster:All Samples_3	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_FPT_Cluster:100 Well: 02 Micron Filter_1	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_PC2_Cluster:All Samples_167	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_PC2_Cluster:100 Well: 02 Micron Filter_20	{}
Subsample:0408-FW021.46.11.27.12.02	Sample_Meas_Cluster:100 Well_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_phylum_2	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_3	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_2	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_3	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_2	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_class_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_3	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_2	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_order_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_3	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_2	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_family_1	{}
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_family_3	{}
